"Id","Sales"
1,6993.79
2,6993.79
3,6993.79
4,6993.79
5,6993.79
6,6993.79
7,6993.79
8,6993.79
9,6993.79
10,6993.79
11,6993.79
12,6993.79
13,6993.79
14,6993.79
15,6993.79
16,6993.79
17,6993.79
18,6993.79
19,6993.79
20,6993.79
21,6993.79
22,6993.79
23,6993.79
24,6993.79
25,6993.79
26,6993.79
27,6993.79
28,6993.79
29,6993.79
30,6993.79
31,6993.79
32,6993.79
33,6993.79
34,6993.79
35,6993.79
36,6993.79
37,6993.79
38,6993.79
39,6993.79
40,6993.79
41,6993.79
42,6993.79
43,6993.79
44,6993.79
45,6993.79
46,6993.79
47,6993.79
48,6993.79
49,6993.79
50,6993.79
51,6993.79
52,6993.79
53,6993.79
54,6993.79
55,6993.79
56,6993.79
57,6993.79
58,6993.79
59,6993.79
60,6993.79
61,6993.79
62,6993.79
63,6993.79
64,6993.79
65,6993.79
66,6993.79
67,6993.79
68,6993.79
69,6993.79
70,6993.79
71,6993.79
72,6993.79
73,6993.79
74,6993.79
75,6993.79
76,6993.79
77,6993.79
78,6993.79
79,6993.79
80,6993.79
81,6993.79
82,6993.79
83,6993.79
84,6993.79
85,6993.79
86,6993.79
87,6993.79
88,6993.79
89,6993.79
90,6993.79
91,6993.79
92,6993.79
93,6993.79
94,6993.79
95,6993.79
96,6993.79
97,6993.79
98,6993.79
99,6993.79
100,6993.79
101,6993.79
102,6993.79
103,6993.79
104,6993.79
105,6993.79
106,6993.79
107,6993.79
108,6993.79
109,6993.79
110,6993.79
111,6993.79
112,6993.79
113,6993.79
114,6993.79
115,6993.79
116,6993.79
117,6993.79
118,6993.79
119,6993.79
120,6993.79
121,6993.79
122,6993.79
123,6993.79
124,6993.79
125,6993.79
126,6993.79
127,6993.79
128,6993.79
129,6993.79
130,6993.79
131,6993.79
132,6993.79
133,6993.79
134,6993.79
135,6993.79
136,6993.79
137,6993.79
138,6993.79
139,6993.79
140,6993.79
141,6993.79
142,6993.79
143,6993.79
144,6993.79
145,6993.79
146,6993.79
147,6993.79
148,6993.79
149,6993.79
150,6993.79
151,6993.79
152,6993.79
